Trade History Report,,,,,,,,,,,,,,
Name:,,,testdemobu,,,,,,,,,,,
Account:,,,"272716800 (USD, Exness-MT5Trial14, demo, Hedge)",,,,,,,,,,,
Company:,,,Exness Technologies Ltd,,,,,,,,,,,
Date:,,,2025.10.31 22:51,,,,,,,,,,,
Positions,,,,,,,,,,,,,,
Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit,,
2025.10.29 10:48:22,1606740881,XAUUSDm,buy,in,0.01,4 027.738,1709078632,0.00,0.00,0.00,0.00,100 000.00,Placed by Python,
2025.10.29 10:50:40,1606757029,XAUUSDm,sell,out,0.01,4 025.822,1709099153,0.00,0.00,0.00,- 1.92,99 998.08,,
2025.10.29 12:15:05,1607477673,XAUUSDm,buy,in,2.27,4 028.493,1709968902,0.00,0.00,0.00,0.00,99 998.08,Placed by Python,
2025.10.29 13:03:39,1607889822,XAUUSDm,sell,out,2.27,4 015.530,,0.00,0.00,0.00,-2 942.60,97 055.48,[sl 4015.53000],
2025.10.29 14:30:29,1608839347,XAUUSDm,buy,in,6.53,4 018.457,1711603087,0.00,0.00,0.00,0.00,97 055.48,Placed by Python,
2025.10.29 14:38:00,1608914981,XAUUSDm,sell,out,6.53,4 013.997,,0.00,0.00,0.00,-2 912.38,94 143.10,[sl 4013.99700],
2025.10.30 00:45:36,1613430008,XAUUSDm,sell,in,1.65,3 938.171,1717102569,0.00,0.00,0.00,0.00,94 143.10,Placed by Python,
2025.10.30 01:00:29,1613523240,XAUUSDm,buy,out,1.65,3 957.319,,0.00,0.00,0.00,-3 159.42,90 983.68,[sl 3957.31900],
2025.10.30 01:55:01,1613879739,XAUUSDm,sell,in,3.11,3 949.139,1717614127,0.00,0.00,0.00,0.00,90 983.68,Placed by Python,
2025.10.30 02:05:05,1613961202,XAUUSDm,buy,out,3.11,3 935.868,,0.00,0.00,0.00,4 127.28,95 110.96,[tp 3935.86800],
2025.10.30 10:58:41,1618307979,XAUUSDm,sell,in,6.71,3 983.037,1722448561,0.00,0.00,0.00,0.00,95 110.96,Placed by Python,
2025.10.30 11:15:29,1618451703,XAUUSDm,buy,out,6.71,3 976.661,,0.00,0.00,0.00,4 278.30,99 389.26,[tp 3976.66100],
2025.10.30 11:41:50,1618732304,XAUUSDm,sell,in,5.59,3 971.367,1722896831,0.00,0.00,0.00,0.00,99 389.26,Placed by Python,
2025.10.30 11:58:42,1618844625,XAUUSDm,buy,out,5.59,3 976.724,,0.00,0.00,0.00,-2 994.57,96 394.69,[sl 3976.72400],
2025.10.30 12:00:01,1618854859,XAUUSDm,sell,in,9.94,3 973.996,1723028795,0.00,0.00,0.00,0.00,96 394.69,Placed by Python,
2025.10.30 12:02:11,1618871367,XAUUSDm,buy,out,9.94,3 976.816,,0.00,0.00,0.00,-2 803.08,93 591.61,[sl 3976.81600],
2025.10.30 12:25:40,1619112142,XAUUSDm,buy,in,9.85,3 980.287,1723310763,0.00,0.00,0.00,0.00,93 591.61,Placed by Python,
2025.10.30 12:26:28,1619118744,XAUUSDm,sell,out,9.85,3 977.436,1723318349,0.00,0.00,0.00,-2 808.24,90 783.37,[sl 3977.436],
2025.10.30 12:47:11,1619349959,XAUUSDm,sell,in,4.5,3 974.649,1723569462,0.00,0.00,0.00,0.00,90 783.37,Placed by Python,
2025.10.30 12:58:23,1619447033,XAUUSDm,buy,out,4.5,3 965.348,,0.00,0.00,0.00,4 185.45,94 968.82,[tp 3965.34800],
2025.10.31 13:35:16,1629785805,XAUUSDm,buy,in,5.88,4 023.980,1735104089,0.00,0.00,0.00,0.00,94 968.82,Placed by Python,
2025.10.31 13:37:54,1629810363,XAUUSDm,sell,out,5.88,4 019.130,,0.00,0.00,0.00,-2 851.80,92 117.02,[sl 4019.13000],
2025.10.31 15:15:56,1630945246,XAUUSDm,sell,in,9.21,4 015.883,1736377056,0.00,0.00,0.00,0.00,92 117.02,Placed by Python,
2025.10.31 15:17:19,1630960346,XAUUSDm,buy,out,9.21,4 018.657,,0.00,0.00,0.00,-2 554.86,89 562.16,[sl 4018.65700],
2025.10.31 15:20:03,1630986595,XAUUSDm,sell,in,6.69,4 015.686,1736422668,0.00,0.00,0.00,0.00,89 562.16,Placed by Python,
2025.10.31 15:27:06,1631045576,XAUUSDm,sell,in,6.87,4 015.509,1736488290,0.00,0.00,0.00,0.00,89 562.16,Placed by Python,
2025.10.31 15:28:47,1631059234,XAUUSDm,sell,in,8.17,4 015.959,1736503787,0.00,0.00,0.00,0.00,89 562.16,Placed by Python,
2025.10.31 15:33:10,1631093879,XAUUSDm,buy,out,8.17,4 019.249,1736543161,0.00,0.00,0.00,-2 687.93,86 874.23,[sl 4019.249],
2025.10.31 15:33:11,1631094164,XAUUSDm,buy,out,6.87,4 019.419,,0.00,0.00,0.00,-2 686.17,84 188.06,[sl 4019.41900],
2025.10.31 15:33:15,1631095306,XAUUSDm,buy,out,6.69,4 019.701,,0.00,0.00,0.00,-2 686.04,81 502.02,[sl 4019.70100],
,,,,,,,,0.00,0.00,0.00,81 502.02,81 502.02,,
Balance:,,,81 502.02,,,Free Margin:,,,81 502.02,,,,,
Credit Facility:,,,0.00,,,Margin:,,,0.00,,,,,
