type,entry_price,stop_loss,take_profit,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl,exit_reason
BUY,3307.51,3303.1400000000003,3314.065,3314.065,2025-06-02 03:50:00,closed,False,False,0,3303.1400000000003,2025-06-02 04:54:00,-4.369999999999891,SL/TP
BUY,3306.78,3304.9,3309.6000000000004,3309.6000000000004,2025-06-02 06:55:00,closed,False,False,0,3309.6000000000004,2025-06-02 07:01:00,2.8200000000001637,SL/TP
BUY,3305.47,3301.25,3311.7999999999993,3311.7999999999993,2025-06-02 05:00:00,closed,False,False,0,3311.7999999999993,2025-06-02 07:13:00,6.3299999999994725,SL/TP
BUY,3350.31,3346.3,3356.325,3356.325,2025-06-02 14:15:00,closed,False,False,0,3356.325,2025-06-02 14:31:00,6.014999999999873,SL/TP
BUY,3356.62,3350.0600000000004,3366.459999999999,3366.459999999999,2025-06-02 16:35:00,closed,False,False,0,3366.459999999999,2025-06-02 16:44:00,9.839999999999236,SL/TP
BUY,3374.38,3371.96,3378.01,3378.01,2025-06-02 20:10:00,closed,False,False,0,3371.96,2025-06-02 20:26:00,-2.4200000000000728,SL/TP
BUY,3373.2,3371.04,3376.4399999999996,3376.4399999999996,2025-06-02 20:30:00,closed,False,False,0,3371.04,2025-06-02 21:23:00,-2.1599999999998545,SL/TP
BUY,3376.7,3371.2400000000002,3384.8899999999994,3384.8899999999994,2025-06-02 21:40:00,closed,False,False,0,3384.8899999999994,2025-06-03 01:00:00,8.1899999999996,SL/TP
BUY,3384.87,3384.4900000000002,3385.4399999999996,3385.4399999999996,2025-06-03 02:55:00,closed,False,False,0,3385.4399999999996,2025-06-03 02:56:00,0.569999999999709,SL/TP
BUY,3379.31,3375.55,3384.95,3384.95,2025-06-03 03:20:00,closed,False,False,0,3375.55,2025-06-03 03:40:00,-3.7599999999997635,SL/TP
BUY,3376.62,3373.6200000000003,3381.119999999999,3381.119999999999,2025-06-03 03:45:00,closed,False,False,0,3373.6200000000003,2025-06-03 04:00:00,-2.9999999999995453,SL/TP
BUY,3367.26,3363.11,3373.4850000000006,3373.4850000000006,2025-06-03 04:35:00,closed,False,False,0,3373.4850000000006,2025-06-03 04:43:00,6.225000000000364,SL/TP
BUY,3362.91,3360.46,3366.5849999999996,3366.5849999999996,2025-06-03 07:00:00,closed,False,False,0,3360.46,2025-06-03 07:32:00,-2.449999999999818,SL/TP
BUY,3361.91,3359.73,3365.1799999999994,3365.1799999999994,2025-06-03 06:45:00,closed,False,False,0,3359.73,2025-06-03 07:37:00,-2.1799999999998363,SL/TP
BUY,3365.98,3360.3900000000003,3374.365,3374.365,2025-06-03 08:55:00,closed,False,False,0,3360.3900000000003,2025-06-03 09:10:00,-5.589999999999691,SL/TP
BUY,3354.2,3351.04,3358.9399999999996,3358.9399999999996,2025-06-03 09:50:00,closed,False,False,0,3358.9399999999996,2025-06-03 09:58:00,4.739999999999782,SL/TP
BUY,3360.74,3357.53,3365.5549999999994,3365.5549999999994,2025-06-03 11:00:00,closed,False,False,0,3357.53,2025-06-03 12:30:00,-3.2099999999995816,SL/TP
BUY,3359.64,3356.1000000000004,3364.949999999999,3364.949999999999,2025-06-03 14:35:00,closed,False,False,0,3356.1000000000004,2025-06-03 15:04:00,-3.539999999999509,SL/TP
BUY,3352.67,3351.3100000000004,3354.7099999999996,3354.7099999999996,2025-06-04 08:05:00,closed,False,False,0,3354.7099999999996,2025-06-04 08:07:00,2.039999999999509,SL/TP
