type,entry_price,stop_loss,take_profit,position_size,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl_points,pnl_currency,exit_reason
BUY,2032.34,2027.9517239675833,2041.116552064833,23.23,2041.116552064833,2024-01-24 11:30:00,closed,False,False,0,2027.9517239675833,2024-01-24 16:30:00,-4.38827603241657,-101.93965223303692,SL/TP
SELL,2029.43,2028.93,2017.9289874876524,17.55,2017.9289874876524,2024-01-24 16:30:00,closed,True,False,0,2017.9289874876524,2024-01-24 17:30:00,11.501012512347643,201.84276959170114,SL/TP
SELL,2015.33,2021.2856554245589,2003.4186891508818,17.29,2003.4186891508818,2024-01-25 20:30:00,closed,False,False,0,2021.2856554245589,2024-01-26 01:15:00,-5.955655424558927,-102.97328229062384,SL/TP
SELL,2018.67,2023.7310950054864,2008.5478099890274,20.14,2008.5478099890274,2024-01-26 19:00:00,closed,False,False,0,2023.7310950054864,2024-01-29 01:00:00,-5.061095005486322,-101.93045341049454,SL/TP
SELL,2018.67,2023.7310950054864,2008.5478099890274,20.14,2008.5478099890274,2024-01-26 19:00:00,closed,False,False,0,2023.7310950054864,2024-01-29 01:00:00,-5.061095005486322,-101.93045341049454,SL/TP
BUY,2022.9,2023.4,2031.8558548498777,22.59,2031.8558548498777,2024-01-29 04:00:00,closed,True,False,0,2031.8558548498777,2024-01-29 09:30:00,8.955854849877596,202.3127610587349,SL/TP
BUY,2049.71,2044.2519464853328,2060.6261070293344,18.91,2060.6261070293344,2024-01-31 19:45:00,closed,False,False,0,2044.2519464853328,2024-01-31 21:00:00,-5.458053514667199,-103.21179196235674,SL/TP
BUY,2046.31,2041.166912577249,2056.596174845502,20.06,2056.596174845502,2024-01-31 20:45:00,closed,False,False,0,2041.166912577249,2024-01-31 21:00:00,-5.143087422751023,-103.17033370038551,SL/TP
BUY,2048.53,2049.03,2071.4307623498285,8.83,2071.4307623498285,2024-02-01 17:00:00,closed,True,False,0,2049.03,2024-02-02 15:30:00,0.5,4.415,SL/TP
BUY,2057.49,2044.1879907721682,2084.094018455663,7.6,2084.094018455663,2024-02-01 20:30:00,closed,False,False,0,2044.1879907721682,2024-02-02 15:30:00,-13.302009227831604,-101.09527013152018,SL/TP
SELL,2028.88,2028.38,2020.1999684964405,23.08,2020.1999684964405,2024-02-05 09:00:00,closed,True,False,0,2020.1999684964405,2024-02-05 15:15:00,8.680031503559576,200.33512710215498,SL/TP
SELL,2027.59,2027.09,2019.96933104755,26.29,2019.96933104755,2024-02-05 13:45:00,closed,True,False,0,2019.96933104755,2024-02-05 15:15:00,7.6206689524499325,200.34738675990872,SL/TP
SELL,2026.34,2030.2295962993517,2018.5608074012964,25.75,2018.5608074012964,2024-02-05 14:00:00,closed,False,False,0,2018.5608074012964,2024-02-05 15:15:00,7.779192598703503,200.3142094166152,SL/TP
SELL,2017.31,2022.1600068531127,2007.6099862937745,21.89,2007.6099862937745,2024-02-05 16:30:00,closed,False,False,0,2022.1600068531127,2024-02-05 16:45:00,-4.850006853112745,-106.166650014638,SL/TP
SELL,2020.18,2026.0645504692895,2008.4108990614209,17.86,2008.4108990614209,2024-02-05 18:15:00,closed,False,False,0,2026.0645504692895,2024-02-05 19:45:00,-5.884550469289479,-105.0980713815101,SL/TP
SELL,2020.82,2026.6185111500545,2009.2229776998909,18.13,2009.2229776998909,2024-02-05 18:30:00,closed,False,False,0,2026.6185111500545,2024-02-05 20:00:00,-5.798511150054537,-105.12700715048875,SL/TP
SELL,2032.43,2035.1164949099461,2027.057010180108,38.34,2027.057010180108,2024-02-08 08:00:00,closed,False,False,0,2035.1164949099461,2024-02-08 09:15:00,-2.6864949099460773,-103.00021484733261,SL/TP
SELL,2022.93,2027.6380459901018,2013.5139080197966,21.66,2013.5139080197966,2024-02-08 15:30:00,closed,False,False,0,2027.6380459901018,2024-02-08 16:15:00,-4.708045990101709,-101.97627614560302,SL/TP
SELL,1992.67,1996.4783088222093,1985.0533823555816,26.51,1985.0533823555816,2024-02-13 23:30:00,closed,False,False,0,1985.0533823555816,2024-02-14 17:00:00,7.616617644418511,201.91653375353474,SL/TP
SELL,1992.11,1995.7507356681294,1984.828528663741,27.73,1984.828528663741,2024-02-14 01:00:00,closed,False,False,0,1984.828528663741,2024-02-14 17:00:00,7.281471336258846,201.9152001544578,SL/TP
