type,entry_price,stop_loss,take_profit,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl,exit_reason
BUY,3396.56,3358.56,3454.56,3454.56,2025-08-08 21:21:00,closed,False,False,0,3358.56,2025-08-11 10:47:00,-38.0,SL/TP
BUY,3395.74,3357.74,3453.74,3453.74,2025-08-08 21:20:00,closed,False,False,0,3357.74,2025-08-11 10:50:00,-38.0,SL/TP
BUY,3395.42,3357.42,3453.42,3453.42,2025-08-08 12:00:00,closed,False,False,0,3357.42,2025-08-11 10:53:00,-38.0,SL/TP
BUY,3395.05,3357.05,3453.05,3453.05,2025-08-08 15:28:00,closed,False,False,0,3357.05,2025-08-11 12:09:00,-38.0,SL/TP
BUY,3394.49,3356.49,3452.49,3452.49,2025-08-08 15:26:00,closed,False,False,0,3356.49,2025-08-11 12:12:00,-38.0,SL/TP
SELL,3351.63,3351.13,3293.63,3293.63,2025-08-12 08:55:00,closed,True,False,0,3351.13,2025-08-12 15:30:00,0.5,SL/TP
SELL,3350.96,3350.46,3292.96,3292.96,2025-08-12 11:22:00,closed,True,False,0,3350.46,2025-08-12 15:30:00,0.5,SL/TP
SELL,3350.44,3349.94,3292.44,3292.44,2025-08-12 11:25:00,closed,True,False,0,3349.94,2025-08-12 15:30:00,0.5,SL/TP
SELL,3350.0,3349.5,3292.0,3292.0,2025-08-12 12:12:00,closed,True,False,0,3349.5,2025-08-12 15:30:00,0.5,SL/TP
SELL,3349.41,3348.91,3291.41,3291.41,2025-08-12 13:29:00,closed,True,False,0,3348.91,2025-08-12 15:30:00,0.5,SL/TP
SELL,3347.21,3346.71,3289.21,3289.21,2025-08-12 16:06:00,closed,True,False,0,3346.71,2025-08-12 18:22:00,0.5,SL/TP
SELL,3347.81,3347.31,3289.81,3289.81,2025-08-12 16:47:00,closed,True,False,0,3347.31,2025-08-12 18:22:00,0.5,SL/TP
SELL,3347.35,3346.85,3289.35,3289.35,2025-08-12 16:52:00,closed,True,False,0,3346.85,2025-08-12 18:22:00,0.5,SL/TP
SELL,3345.96,3345.46,3287.96,3287.96,2025-08-12 22:08:00,closed,True,False,0,3345.46,2025-08-14 17:24:00,0.5,SL/TP
SELL,3346.48,3345.98,3288.48,3288.48,2025-08-12 19:16:00,closed,True,False,0,3345.98,2025-08-14 17:30:00,0.5,SL/TP
SELL,3346.59,3346.09,3288.59,3288.59,2025-08-12 20:50:00,closed,True,False,0,3346.09,2025-08-14 17:30:00,0.5,SL/TP
SELL,3346.9,3346.4,3288.9,3288.9,2025-08-12 22:07:00,closed,True,False,0,3346.4,2025-08-14 17:32:00,0.5,SL/TP
SELL,3347.52,3347.02,3289.52,3289.52,2025-08-12 21:42:00,closed,True,False,0,3347.02,2025-08-15 08:02:00,0.5,SL/TP
SELL,3341.05,3340.55,3283.05,3283.05,2025-08-15 09:55:00,closed,True,False,0,3340.55,2025-08-18 03:21:00,0.5,SL/TP
SELL,3340.43,3339.93,3282.43,3282.43,2025-08-15 09:58:00,closed,True,False,0,3339.93,2025-08-18 03:21:00,0.5,SL/TP
SELL,3340.67,3340.17,3282.67,3282.67,2025-08-15 10:07:00,closed,True,False,0,3340.17,2025-08-18 03:21:00,0.5,SL/TP
SELL,3341.58,3341.08,3283.58,3283.58,2025-08-15 10:35:00,closed,True,False,0,3341.08,2025-08-18 03:21:00,0.5,SL/TP
SELL,3341.6,3341.1,3283.6,3283.6,2025-08-15 11:14:00,closed,True,False,0,3341.1,2025-08-18 03:21:00,0.5,SL/TP
SELL,3341.05,3340.55,3283.05,3283.05,2025-08-15 09:55:00,closed,True,False,0,3340.55,2025-08-18 03:21:00,0.5,SL/TP
SELL,3340.43,3339.93,3282.43,3282.43,2025-08-15 09:58:00,closed,True,False,0,3339.93,2025-08-18 03:21:00,0.5,SL/TP
