type,entry_price,stop_loss,take_profit,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl,exit_reason
BUY,1799.3,1799.8,1857.3,1857.3,2021-11-05 15:45:00,closed,True,False,0,1857.3,2021-11-10 16:15:00,58.0,SL/TP
BUY,1851.13,1851.63,1909.13,1909.13,2021-11-10 15:30:00,closed,True,False,0,1851.63,2021-11-10 17:45:00,0.5,SL/TP
BUY,1853.37,1853.87,1911.37,1911.37,2021-11-10 16:00:00,closed,True,False,0,1853.87,2021-11-10 17:45:00,0.5,SL/TP
BUY,1852.27,1852.77,1910.27,1910.27,2021-11-11 08:45:00,closed,True,False,0,1852.77,2021-11-12 10:15:00,0.5,SL/TP
BUY,1853.9,1854.4,1911.9,1911.9,2021-11-11 09:00:00,closed,True,False,0,1854.4,2021-11-12 10:15:00,0.5,SL/TP
BUY,1849.26,1849.76,1907.26,1907.26,2021-11-11 06:45:00,closed,True,False,0,1849.76,2021-11-12 11:00:00,0.5,SL/TP
BUY,1848.58,1849.08,1906.58,1906.58,2021-11-11 01:15:00,closed,True,False,0,1849.08,2021-11-12 12:30:00,0.5,SL/TP
BUY,1847.71,1848.21,1905.71,1905.71,2021-11-11 06:30:00,closed,True,False,0,1848.21,2021-11-12 12:30:00,0.5,SL/TP
BUY,1853.49,1853.99,1911.49,1911.49,2021-11-12 14:45:00,closed,True,False,0,1853.99,2021-11-16 18:30:00,0.5,SL/TP
BUY,1856.41,1856.91,1914.41,1914.41,2021-11-12 16:00:00,closed,True,False,0,1856.91,2021-11-15 05:45:00,0.5,SL/TP
BUY,1857.78,1858.28,1915.78,1915.78,2021-11-12 16:30:00,closed,True,False,0,1858.28,2021-11-15 03:30:00,0.5,SL/TP
BUY,1863.53,1864.03,1921.53,1921.53,2021-11-12 18:30:00,closed,True,False,0,1864.03,2021-11-16 16:00:00,0.5,SL/TP
BUY,1862.86,1863.36,1920.86,1920.86,2021-11-12 19:00:00,closed,True,False,0,1863.36,2021-11-16 16:00:00,0.5,SL/TP
BUY,1857.78,1858.28,1915.78,1915.78,2021-11-12 16:30:00,closed,True,False,0,1858.28,2021-11-15 03:30:00,0.5,SL/TP
BUY,1856.41,1856.91,1914.41,1914.41,2021-11-12 16:00:00,closed,True,False,0,1856.91,2021-11-15 05:45:00,0.5,SL/TP
BUY,1863.53,1864.03,1921.53,1921.53,2021-11-12 18:30:00,closed,True,False,0,1864.03,2021-11-16 16:00:00,0.5,SL/TP
BUY,1862.86,1863.36,1920.86,1920.86,2021-11-12 19:00:00,closed,True,False,0,1863.36,2021-11-16 16:00:00,0.5,SL/TP
BUY,1861.01,1861.51,1919.01,1919.01,2021-11-15 11:00:00,closed,True,False,0,1861.51,2021-11-16 16:00:00,0.5,SL/TP
BUY,1864.43,1864.93,1922.43,1922.43,2021-11-15 18:15:00,closed,True,False,0,1864.93,2021-11-16 16:00:00,0.5,SL/TP
BUY,1853.49,1853.99,1911.49,1911.49,2021-11-12 14:45:00,closed,True,False,0,1853.99,2021-11-16 18:30:00,0.5,SL/TP
BUY,1860.71,1861.21,1918.71,1918.71,2021-11-17 11:30:00,closed,True,False,0,1861.21,2021-11-18 12:15:00,0.5,SL/TP
