type,entry_price,stop_loss,take_profit,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl,exit_reason
BUY,3293.29,3291.9700000000003,3295.2699999999995,3295.2699999999995,2025-08-01 01:30:00,closed,False,False,0,3291.9700000000003,2025-08-01 02:10:00,-1.319999999999709,SL/TP
BUY,3291.78,3289.86,3294.6600000000003,3294.6600000000003,2025-08-01 03:50:00,closed,False,False,0,3289.86,2025-08-01 03:59:00,-1.9200000000000728,SL/TP
BUY,3291.17,3289.42,3293.795,3293.795,2025-08-01 04:00:00,closed,False,False,0,3289.42,2025-08-01 04:25:00,-1.75,SL/TP
BUY,3287.39,3287.03,3287.9299999999994,3287.9299999999994,2025-08-01 05:40:00,closed,False,False,0,3287.9299999999994,2025-08-01 05:41:00,0.5399999999995089,SL/TP
BUY,3291.86,3287.9500000000003,3297.725,3297.725,2025-08-01 11:50:00,closed,False,False,0,3297.725,2025-08-01 13:35:00,5.864999999999782,SL/TP
BUY,3348.0,3348.5,3352.7999999999997,3352.7999999999997,2025-08-01 20:05:00,closed,True,False,0,3352.7999999999997,2025-08-04 00:00:00,4.799999999999727,SL/TP
BUY,3348.0,3348.5,3352.7999999999997,3352.7999999999997,2025-08-01 20:05:00,closed,True,False,0,3352.7999999999997,2025-08-04 00:00:00,4.799999999999727,SL/TP
BUY,3360.41,3357.2400000000002,3365.164999999999,3365.164999999999,2025-08-04 02:50:00,closed,False,False,0,3357.2400000000002,2025-08-04 03:03:00,-3.169999999999618,SL/TP
BUY,3354.49,3351.28,3359.3049999999994,3359.3049999999994,2025-08-04 05:25:00,closed,False,False,0,3359.3049999999994,2025-08-04 06:51:00,4.8149999999996,SL/TP
BUY,3360.98,3356.52,3367.67,3367.67,2025-08-04 09:45:00,closed,False,False,0,3356.52,2025-08-04 10:24:00,-4.460000000000036,SL/TP
BUY,3359.35,3356.2000000000003,3364.0749999999994,3364.0749999999994,2025-08-04 11:25:00,closed,False,False,0,3356.2000000000003,2025-08-04 13:20:00,-3.149999999999636,SL/TP
BUY,3357.81,3356.84,3359.2649999999994,3359.2649999999994,2025-08-04 14:00:00,closed,False,False,0,3359.2649999999994,2025-08-04 14:03:00,1.4549999999994725,SL/TP
BUY,3374.08,3373.4900000000002,3374.9649999999992,3374.9649999999992,2025-08-04 19:05:00,closed,False,False,0,3374.9649999999992,2025-08-04 19:07:00,0.8849999999993088,SL/TP
BUY,3373.84,3372.4,3376.0,3376.0,2025-08-04 21:00:00,closed,False,False,0,3376.0,2025-08-04 21:21:00,2.1599999999998545,SL/TP
BUY,3375.07,3373.8100000000004,3376.96,3376.96,2025-08-05 02:00:00,closed,False,False,0,3376.96,2025-08-05 02:02:00,1.8899999999998727,SL/TP
BUY,3372.9,3370.63,3376.3050000000003,3376.3050000000003,2025-08-05 08:55:00,closed,False,False,0,3370.63,2025-08-05 09:06:00,-2.269999999999982,SL/TP
BUY,3371.84,3368.8,3376.4,3376.4,2025-08-05 10:20:00,closed,False,False,0,3368.8,2025-08-05 11:44:00,-3.0399999999999636,SL/TP
BUY,3359.5,3360.0,3370.2849999999994,3370.2849999999994,2025-08-05 15:25:00,closed,True,False,0,3370.2849999999994,2025-08-05 16:23:00,10.7849999999994,SL/TP
BUY,3380.28,3380.0600000000004,3380.6099999999997,3380.6099999999997,2025-08-06 01:05:00,closed,False,False,0,3380.6099999999997,2025-08-06 01:07:00,0.3299999999994725,SL/TP
BUY,3379.06,3378.84,3379.3899999999994,3379.3899999999994,2025-08-06 02:00:00,closed,False,False,0,3379.3899999999994,2025-08-06 02:01:00,0.3299999999994725,SL/TP
BUY,3376.24,3371.78,3382.9299999999994,3382.9299999999994,2025-08-06 09:05:00,closed,False,False,0,3371.78,2025-08-06 10:14:00,-4.459999999999582,SL/TP
BUY,3375.65,3373.0800000000004,3379.5049999999997,3379.5049999999997,2025-08-06 10:50:00,closed,False,False,0,3373.0800000000004,2025-08-06 11:00:00,-2.569999999999709,SL/TP
BUY,3364.78,3362.4700000000003,3368.245,3368.245,2025-08-06 14:20:00,closed,False,False,0,3362.4700000000003,2025-08-06 15:10:00,-2.3099999999999454,SL/TP
BUY,3364.04,3361.8700000000003,3367.294999999999,3367.294999999999,2025-08-06 15:50:00,closed,False,False,0,3367.294999999999,2025-08-06 15:53:00,3.2549999999991996,SL/TP
BUY,3375.65,3374.0800000000004,3378.0049999999997,3378.0049999999997,2025-08-06 19:40:00,closed,False,False,0,3374.0800000000004,2025-08-06 20:13:00,-1.569999999999709,SL/TP
BUY,3376.92,3374.0600000000004,3381.2099999999996,3381.2099999999996,2025-08-06 20:00:00,closed,False,False,0,3374.0600000000004,2025-08-06 20:13:00,-2.8599999999996726,SL/TP
BUY,3371.36,3370.26,3373.01,3373.01,2025-08-07 01:20:00,closed,False,False,0,3370.26,2025-08-07 01:24:00,-1.099999999999909,SL/TP
BUY,3370.15,3368.9900000000002,3371.89,3371.89,2025-08-07 03:25:00,closed,False,False,0,3371.89,2025-08-07 03:26:00,1.7399999999997817,SL/TP
BUY,3379.85,3378.01,3382.6099999999997,3382.6099999999997,2025-08-07 06:55:00,closed,False,False,0,3378.01,2025-08-07 07:08:00,-1.8399999999996908,SL/TP
BUY,3378.01,3377.1000000000004,3379.375,3379.375,2025-08-07 08:25:00,closed,False,False,0,3379.375,2025-08-07 08:29:00,1.3649999999997817,SL/TP
BUY,3379.68,3376.6600000000003,3384.209999999999,3384.209999999999,2025-08-07 08:05:00,closed,False,False,0,3376.6600000000003,2025-08-07 08:33:00,-3.019999999999527,SL/TP
BUY,3379.26,3377.3,3382.2000000000003,3382.2000000000003,2025-08-07 09:20:00,closed,False,False,0,3382.2000000000003,2025-08-07 09:40:00,2.9400000000000546,SL/TP
BUY,3381.21,3375.71,3389.46,3389.46,2025-08-07 14:20:00,closed,False,False,0,3375.71,2025-08-07 15:14:00,-5.5,SL/TP
BUY,3377.75,3375.11,3381.71,3381.71,2025-08-07 15:15:00,closed,False,False,0,3381.71,2025-08-07 15:29:00,3.9600000000000364,SL/TP
BUY,3383.74,3379.5,3390.0999999999995,3390.0999999999995,2025-08-07 17:30:00,closed,False,False,0,3390.0999999999995,2025-08-07 18:15:00,6.359999999999673,SL/TP
BUY,3390.61,3387.8300000000004,3394.7799999999997,3394.7799999999997,2025-08-07 20:40:00,closed,False,False,0,3387.8300000000004,2025-08-07 21:46:00,-2.7799999999997453,SL/TP
BUY,3393.33,3388.78,3400.1549999999997,3400.1549999999997,2025-08-07 22:30:00,closed,False,False,0,3400.1549999999997,2025-08-07 22:46:00,6.824999999999818,SL/TP
BUY,3397.57,3389.53,3409.63,3409.63,2025-08-08 01:35:00,closed,False,False,0,3389.53,2025-08-08 03:57:00,-8.039999999999964,SL/TP
BUY,3388.69,3386.92,3391.3450000000003,3391.3450000000003,2025-08-08 05:45:00,closed,False,False,0,3386.92,2025-08-08 06:05:00,-1.7699999999999818,SL/TP
