type,entry_price,stop_loss,take_profit,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl,exit_reason
BUY,1861.74,1823.74,1919.74,1919.74,2021-11-17 13:45:00,closed,False,False,0,1823.74,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1862.86,1824.86,1920.86,1920.86,2021-11-17 17:45:00,closed,False,False,0,1824.86,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1864.04,1826.04,1922.04,1922.04,2021-11-17 21:45:00,closed,False,False,0,1826.04,2021-11-22 16:15:00,-38.0,SL/TP
SELL,1790.14,1789.64,1732.14,1732.14,2021-11-25 18:30:00,closed,True,False,0,1789.64,2021-11-29 01:30:00,0.5,SL/TP
SELL,1789.53,1789.03,1731.53,1731.53,2021-11-25 18:45:00,closed,True,False,0,1789.03,2021-11-29 01:30:00,0.5,SL/TP
SELL,1788.42,1787.92,1730.42,1730.42,2021-11-25 19:45:00,closed,True,False,0,1787.92,2021-11-29 01:00:00,0.5,SL/TP
SELL,1788.42,1787.92,1730.42,1730.42,2021-11-25 20:00:00,closed,True,False,0,1787.92,2021-11-29 01:00:00,0.5,SL/TP
SELL,1788.42,1787.92,1730.42,1730.42,2021-11-25 20:15:00,closed,True,False,0,1787.92,2021-11-29 01:00:00,0.5,SL/TP
SELL,1788.42,1787.92,1730.42,1730.42,2021-11-25 19:45:00,closed,True,False,0,1787.92,2021-11-29 01:00:00,0.5,SL/TP
SELL,1788.42,1787.92,1730.42,1730.42,2021-11-25 20:00:00,closed,True,False,0,1787.92,2021-11-29 01:00:00,0.5,SL/TP
SELL,1788.42,1787.92,1730.42,1730.42,2021-11-25 20:15:00,closed,True,False,0,1787.92,2021-11-29 01:00:00,0.5,SL/TP
SELL,1790.14,1789.64,1732.14,1732.14,2021-11-25 18:30:00,closed,True,False,0,1789.64,2021-11-29 01:30:00,0.5,SL/TP
SELL,1789.53,1789.03,1731.53,1731.53,2021-11-25 18:45:00,closed,True,False,0,1789.03,2021-11-29 01:30:00,0.5,SL/TP
SELL,1770.92,1770.42,1712.92,1712.92,2021-12-03 16:45:00,closed,True,False,0,1770.42,2021-12-15 21:45:00,0.5,SL/TP
SELL,1780.56,1780.06,1722.56,1722.56,2021-12-07 04:15:00,closed,True,False,0,1780.06,2021-12-10 15:30:00,0.5,SL/TP
SELL,1770.92,1770.42,1712.92,1712.92,2021-12-03 16:45:00,closed,True,False,0,1770.42,2021-12-15 21:45:00,0.5,SL/TP
SELL,1778.4,1777.9,1720.4,1720.4,2021-12-06 23:30:00,closed,True,False,0,1777.9,2021-12-14 16:45:00,0.5,SL/TP
SELL,1779.05,1778.55,1721.05,1721.05,2021-12-07 03:45:00,closed,True,False,0,1778.55,2021-12-15 22:15:00,0.5,SL/TP
SELL,1780.01,1779.51,1722.01,1722.01,2021-12-07 04:30:00,closed,True,False,0,1779.51,2021-12-15 22:30:00,0.5,SL/TP
BUY,1784.79,1785.29,1842.79,1842.79,2021-12-10 18:00:00,closed,True,False,0,1785.29,2021-12-21 17:45:00,0.5,SL/TP
SELL,1778.4,1777.9,1720.4,1720.4,2021-12-06 23:30:00,closed,True,False,0,1777.9,2021-12-14 16:45:00,0.5,SL/TP
SELL,1770.92,1770.42,1712.92,1712.92,2021-12-03 16:45:00,closed,True,False,0,1770.42,2021-12-15 21:45:00,0.5,SL/TP
SELL,1775.15,1774.65,1717.15,1717.15,2021-12-14 18:00:00,closed,True,False,0,1774.65,2021-12-15 22:00:00,0.5,SL/TP
SELL,1779.05,1778.55,1721.05,1721.05,2021-12-07 03:45:00,closed,True,False,0,1778.55,2021-12-15 22:15:00,0.5,SL/TP
SELL,1780.01,1779.51,1722.01,1722.01,2021-12-07 04:30:00,closed,True,False,0,1779.51,2021-12-15 22:30:00,0.5,SL/TP
BUY,1784.79,1785.29,1842.79,1842.79,2021-12-10 18:00:00,closed,True,False,0,1785.29,2021-12-21 17:45:00,0.5,SL/TP
BUY,1784.79,1785.29,1842.79,1842.79,2021-12-10 18:00:00,closed,True,False,0,1785.29,2021-12-21 17:45:00,0.5,SL/TP
BUY,1797.87,1798.37,1855.87,1855.87,2021-12-21 13:45:00,closed,True,False,0,1798.37,2021-12-29 12:30:00,0.5,SL/TP
SELL,1788.81,1826.81,1730.81,1730.81,2021-12-21 23:30:00,closed,False,False,0,1826.81,2021-12-31 15:30:00,-38.0,SL/TP
SELL,1788.81,1826.81,1730.81,1730.81,2021-12-22 04:30:00,closed,False,False,0,1826.81,2021-12-31 15:30:00,-38.0,SL/TP
BUY,1809.53,1810.03,1867.53,1867.53,2021-12-27 22:15:00,closed,True,False,0,1810.03,2021-12-28 18:00:00,0.5,SL/TP
BUY,1807.69,1808.19,1865.69,1865.69,2021-12-27 20:45:00,closed,True,False,0,1808.19,2021-12-28 20:30:00,0.5,SL/TP
BUY,1797.87,1798.37,1855.87,1855.87,2021-12-21 13:45:00,closed,True,False,0,1798.37,2021-12-29 12:30:00,0.5,SL/TP
SELL,1788.81,1826.81,1730.81,1730.81,2021-12-21 23:30:00,closed,False,False,0,1826.81,2021-12-31 15:30:00,-38.0,SL/TP
SELL,1788.81,1826.81,1730.81,1730.81,2021-12-22 04:30:00,closed,False,False,0,1826.81,2021-12-31 15:30:00,-38.0,SL/TP
BUY,1805.9,1806.4,1863.9,1863.9,2021-12-30 17:00:00,closed,True,False,0,1806.4,2022-01-03 15:45:00,0.5,SL/TP
BUY,1805.9,1806.4,1863.9,1863.9,2021-12-30 17:00:00,closed,True,False,0,1806.4,2022-01-03 15:45:00,0.5,SL/TP
BUY,1815.81,1816.31,1873.81,1873.81,2022-01-05 07:45:00,closed,True,False,0,1816.31,2022-01-05 21:00:00,0.5,SL/TP
BUY,1817.37,1817.87,1875.37,1875.37,2022-01-05 11:00:00,closed,True,False,0,1817.87,2022-01-05 21:00:00,0.5,SL/TP
BUY,1813.51,1814.01,1871.51,1871.51,2022-01-05 09:45:00,closed,True,False,0,1814.01,2022-01-05 21:30:00,0.5,SL/TP
BUY,1810.06,1810.56,1868.06,1868.06,2022-01-05 23:30:00,closed,True,False,0,1810.56,2022-01-18 11:45:00,0.5,SL/TP
BUY,1810.06,1810.56,1868.06,1868.06,2022-01-05 23:30:00,closed,True,False,0,1810.56,2022-01-18 11:45:00,0.5,SL/TP
BUY,1826.06,1826.56,1884.06,1884.06,2022-01-14 05:45:00,closed,True,False,0,1826.56,2022-01-19 17:00:00,0.5,SL/TP
BUY,1826.56,1827.06,1884.56,1884.56,2022-01-14 09:00:00,closed,True,False,0,1827.06,2022-01-19 17:00:00,0.5,SL/TP
BUY,1826.91,1827.41,1884.91,1884.91,2022-01-14 09:15:00,closed,True,False,0,1827.41,2022-01-19 17:00:00,0.5,SL/TP
BUY,1826.01,1826.51,1884.01,1884.01,2022-01-14 10:30:00,closed,True,False,0,1826.51,2022-01-19 17:00:00,0.5,SL/TP
BUY,1810.06,1810.56,1868.06,1868.06,2022-01-05 23:30:00,closed,True,False,0,1810.56,2022-01-18 11:45:00,0.5,SL/TP
BUY,1826.06,1826.56,1884.06,1884.06,2022-01-14 05:45:00,closed,True,False,0,1826.56,2022-01-19 17:00:00,0.5,SL/TP
BUY,1826.56,1827.06,1884.56,1884.56,2022-01-14 09:00:00,closed,True,False,0,1827.06,2022-01-19 17:00:00,0.5,SL/TP
BUY,1826.91,1827.41,1884.91,1884.91,2022-01-14 09:15:00,closed,True,False,0,1827.41,2022-01-19 17:00:00,0.5,SL/TP
BUY,1826.01,1826.51,1884.01,1884.01,2022-01-14 10:30:00,closed,True,False,0,1826.51,2022-01-19 17:00:00,0.5,SL/TP
SELL,1812.46,1850.46,1754.46,1754.46,2022-01-18 20:15:00,closed,False,False,0,1850.46,2022-01-25 16:45:00,-38.0,SL/TP
SELL,1812.46,1850.46,1754.46,1754.46,2022-01-18 20:15:00,closed,False,False,0,1850.46,2022-01-25 16:45:00,-38.0,SL/TP
BUY,1842.66,1843.16,1900.66,1900.66,2022-01-25 01:00:00,closed,True,False,0,1843.16,2022-01-25 16:45:00,0.5,SL/TP
BUY,1840.93,1841.43,1898.93,1898.93,2022-01-25 04:00:00,closed,True,False,0,1841.43,2022-01-25 17:00:00,0.5,SL/TP
BUY,1832.76,1833.26,1890.76,1890.76,2022-01-24 17:00:00,closed,True,False,0,1833.26,2022-01-26 16:15:00,0.5,SL/TP
BUY,1839.17,1839.67,1897.17,1897.17,2022-01-24 22:00:00,closed,True,False,0,1839.67,2022-01-26 16:15:00,0.5,SL/TP
BUY,1847.37,1809.37,1905.37,1905.37,2022-01-26 06:30:00,closed,False,False,0,1809.37,2022-01-27 13:30:00,-38.0,SL/TP
