type,entry_price,stop_loss,take_profit,position_size,initial_tp,atr_at_entry,entry_time,status,breakeven_applied,tp_extended,trailing_steps,sl_reason,trade_id,original_position_size,tier,partial_closes,peak_profit_runner,dd_multiplier,consecutive_losses_at_entry,circuit_breaker_active,session_name,session_multiplier,exit_price,exit_time,pnl,pnl_currency,exit_reason
BUY,4115.855,4112.584348716019,4120.32030256796,0.08,4120.32030256796,,2025-10-13 23:26:00,closed,False,False,0,Initial,799566b8-33eb-4b83-b334-06e2336d2a00,0.08,0,[],0.0,1.0,0,False,ADX_Override (57.2),1.0,4115.099,2025-10-13 23:31:00,-0.8559999999997672,-6.847999999998137,Candlestick Reversal
BUY,4127.658,4124.506659374913,4144.472681250174,0.03,4144.472681250174,,2025-10-14 01:00:00,closed,False,False,0,Initial,47468880-4aa1-44f8-8ecb-693a66f08ce1,0.09,0,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.03, 'price': 4133.960681250174}]",0.0,1.0,0,False,ADX_Override (73.0),1.0,4133.960681250174,2025-10-14 01:11:00,6.202681250173555,18.608043750520665,Partial Close Tier 1 (at Initial TP)
BUY,4127.658,4128.158,4133.960681250174,0.06,4144.472681250174,,2025-10-14 01:00:00,closed,False,False,0,BE after Tier 1 (at Initial TP),47468880-4aa1-44f8-8ecb-693a66f08ce1,0.09,1,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.03, 'price': 4133.960681250174}]",0.0,1.0,0,False,ADX_Override (73.0),1.0,4133.960681250174,2025-10-14 01:11:00,6.202681250173555,37.21608750104133,Take Profit
BUY,4140.627,4134.5498316172,4151.989336765601,0.05,4151.989336765601,,2025-10-14 02:02:00,closed,False,False,0,Initial,61c9c72d-cb65-4b24-a4db-a065fc06b396,0.05,0,[],0.0,1.0,0,False,ADX_Override (45.7),1.0,4140.363,2025-10-14 02:04:00,-0.3640000000004875,-1.8200000000024374,Candlestick Reversal
BUY,4136.94,4133.312875840707,4157.832248318585,0.08,4157.832248318585,,2025-10-14 08:50:00,closed,False,False,0,Initial,952beb4d-18c9-4704-a0ae-12f193420e14,0.08,0,[],0.0,1.0,0,False,ADX_Override (58.4),1.0,4141.297,2025-10-14 08:53:00,4.256999999999607,34.05599999999686,Candlestick Reversal
BUY,4139.543,4135.628993811121,4151.712012377757,0.06,4151.712012377757,,2025-10-14 09:10:00,closed,False,False,0,Initial,a62e3d82-acf7-42ed-be49-cd7781e58ac8,0.06,0,[],0.0,1.0,0,False,Standard_London_Mid,0.8,4139.813,2025-10-14 09:35:00,0.17000000000007276,1.0200000000004366,Candlestick Reversal
SELL,4109.931,4119.6613949307675,4077.7832101384656,0.03,4077.7832101384656,,2025-10-14 13:21:00,closed,False,False,0,Initial,cbe45e35-0b44-49ff-bdaa-6138d32caf49,0.03,0,[],0.0,1.0,0,False,ADX_Override (75.3),1.0,4108.82,2025-10-14 13:22:00,1.0109999999995125,3.0329999999985375,Candlestick Reversal
BUY,4132.545,4127.31058811277,4142.38682377446,0.06,4142.38682377446,,2025-10-14 15:01:00,closed,False,False,0,Initial,f83c0eaa-ce92-489c-9fe0-107a7735fc5f,0.06,0,[],0.0,1.0,0,False,ADX_Override (54.7),1.0,4141.236,2025-10-14 15:14:00,8.59099999999944,51.54599999999664,Candlestick Reversal
BUY,4142.454,4137.893529930821,4162.860940138358,0.07,4162.860940138358,,2025-10-14 17:01:00,closed,False,False,0,Initial,ed728475-4156-422b-9927-a1d75bb7ab14,0.07,0,[],0.0,1.0,0,False,ADX_Override (82.7),1.0,4149.439,2025-10-14 17:09:00,6.885000000000218,48.19500000000153,Candlestick Reversal
BUY,4146.848,4143.848,4149.915784150662,0.11,4149.915784150662,,2025-10-14 17:50:00,closed,False,False,0,Initial,bdffcd95-66f9-41eb-a5df-8e8bc06edbfb,0.11,0,[],0.0,1.0,0,False,ADX_Override (70.1),1.0,4147.679,2025-10-14 18:00:00,0.7309999999997672,8.040999999997439,Candlestick Reversal
